,location
2,"53.2, -2.916667"
6,"51.434722, -3.18"
18,"32.364167, -64.678611"
21,"51.5, -3.2"
25,"51.783333, -0.783333"
36,"-38.662334, 178.017649"
40,"53.8, -1.583333"
58,"55.183333, 59.65"
69,"-33.093373, 151.58898200000002"
76,"0.0, 0.0"
97,"0.0, 0.0"
102,"0.0, 0.0"
112,"-33.861481, 151.205475"
121,"-34.928661, 138.598633"
126,"25.03428, -77.39628"
127,"-41.05584, 145.903748"
136,"53.070884, -2.7365060000000003"
147,"55.28813100000001, 23.957728"
160,"52.516667000000005, -3.3"
174,"50.396389, -4.138611"
199,"59.900209, 5.282347"
219,"0.0, 0.0"
254,"51.316666999999995, -0.266667"
307,"-23.697479, 133.883621"
310,"0.0, 0.0"
321,"64.06666700000001, -21.95"
322,"0.0, 0.0"
349,"51.514125, -0.093689"
352,"52.75, -3.8833330000000004"
380,"27.477936, -99.549573"
389,"52.683333, -2.016667"
403,"53.433333, -1.35"
413,"51.816666999999995, -1.283333"
421,"-27.597553, 152.7455"
426,"51.514125, -0.093689"
427,"46.62794, 14.30899"
432,"-27.088078999999997, 152.928057"
520,"33.590354999999995, 130.401716"
550,"0.0, 0.0"
553,"14.058323999999999, 108.277199"
560,"-33.137551, 81.826172"
578,"39.920770000000005, 32.85411"
581,"0.0, 0.0"
593,"51.394943, -0.19446"
609,"52.466667, -1.916667"
670,"51.021111, -3.104722"
671,"52.355518, -1.17432"
712,"0.0, 0.0"
713,"53.38333299999999, -2.6"
729,"51.312374, 3.132768"
733,"31.846940000000004, 120.87286200000001"
739,"56.15, -3.75"
745,"-37.653828999999995, 145.517006"
757,"-5.1295470000000005, -80.12056899999999"
759,"22.396428, 114.10949699999999"
778,"39.337515, 20.289964"
813,"51.883333, -0.516667"
864,"52.75, 1.3"
872,"40.182846000000005, 29.067084"
875,"33.223191, 43.679291"
931,"-34.928661, 138.598633"
947,"3.1390029999999998, 101.68685500000001"
969,"40.183333000000005, 44.516667"
1017,"48.945484, 2.037356"
1074,"51.514125, -0.093689"
1078,"14.058323999999999, 108.277199"
1081,"-31.952240000000003, 115.861397"
1090,"-37.813938, 144.963425"
1095,"50.716667, -2.0"
1120,"-29.906301000000003, -71.25020400000001"
1128,"50.395140000000005, -3.513924"
1132,"0.0, 0.0"
1135,"48.097456, -0.349277"
1136,"52.683333, -2.016667"
1141,"-29.949369, 114.982101"
1146,"-25.274398, 133.775136"
1148,"53.433333, -1.35"
1163,"-7.33683, 110.49881699999999"
1171,"43.580418, 7.125102"
1172,"66.07583299999999, -23.126667"
1177,"0.0, 0.0"
1183,"43.866667, -79.43333299999999"
1185,"28.459497, 77.026638"
1192,"35.184870000000004, -80.79071"
1225,"52.833332999999996, -2.0"
1226,"51.75, -0.75"
1293,"25.317645000000002, 82.97391400000001"
1316,"9.512017, 100.013593"
1336,"39.617206, -8.652142"
1361,"55.766667000000005, -4.1666669999999995"
1401,"47.497912, 19.040235"
1409,"25.566699, -108.46730500000001"
1413,"53.333332999999996, -2.75"
1427,"53.5, -2.2166669999999997"
1428,"53.5, -2.2166669999999997"
1446,"52.666667000000004, -2.75"
1453,"52.516667000000005, 13.4"
1468,"31.596553999999998, 130.55711599999998"
1469,"28.535515999999998, 77.391026"
1476,"-44.396972, 171.254973"
1479,"56.11666700000001, -3.166667"
1494,"-37.953410999999996, 176.990801"
1528,"12.295810000000001, 76.639381"
1530,"53.55, -2.1166669999999996"
1543,"38.541057, -0.122494"
1558,"55.833332999999996, -4.25"
1571,"50.766667, 0.1"
1572,"51.183333000000005, 0.283333"
1608,"16.691308, 74.244866"
1631,"22.564254000000002, 114.229432"
1650,"3.8249730000000004, 103.3239"
1660,"19.876165, 75.343314"
1665,"-27.471009999999996, 153.024292"
1688,"8.454236, 124.63189799999999"
1693,"54.978252000000005, -1.61778"
1714,"51.676111, -4.156667"
1730,"38.173168, 20.489973000000003"
1738,"10.063611, -69.334722"
1739,"17.385044, 78.486671"
1740,"33.598394, 73.044135"
1780,"0.0, 0.0"
1783,"35.696111, 51.423056"
1785,"53.266667000000005, -2.5"
1810,"0.0, 0.0"
1827,"34.533056, 69.166111"
1861,"0.0, 0.0"
1871,"34.56, -5.95"
1891,"54.833332999999996, -1.8666669999999999"
1893,"53.927659999999996, -3.00585"
1901,"-8.783195, -124.508523"
1913,"51.514125, -0.093689"
1921,"0.0, 0.0"
1928,"51.165690999999995, 10.451526"
2014,"0.0, 0.0"
2024,"-37.966667, 145.066667"
2034,"51.514125, -0.093689"
2057,"25.091075, 121.55983400000001"
2058,"23.885942, 45.079162"
2067,"-27.116667, 31.2"
2069,"0.0, 0.0"
2084,"48.834913, 2.5236490000000003"
2095,"-27.251405, 152.991072"
2099,"43.508132, 16.440193"
2132,"56.81981700000001, -5.105218"
2153,"57.466667, -4.233333"
2164,"31.846940000000004, 120.87286200000001"
2182,"53.36666700000001, -1.5"
2184,"4.52572, -75.6976"
2199,"51.514125, -0.093689"
2219,"52.77131800000001, -1.554997"
2258,"51.510538000000004, -0.5950409999999999"
2259,"54.966667, 73.383333"
2400,"53.716667, -0.333333"
2410,"10.999444, -63.79444399999999"
2444,"59.434091, 10.658383"
2460,"31.768319, 35.21371"
2463,"0.0, 0.0"
2482,"13.052414, 80.250825"
2495,"0.0, 0.0"
2529,"45.171617, 28.791444"
2538,"24.088938, 32.899829"
2541,"55.833332999999996, -4.25"
2544,"34.693738, 135.502165"
2571,"52.25, -0.883333"
2606,"35.689488, 139.691706"
2613,"53.8, -1.583333"
2624,"0.0, 0.0"
2634,"53.783333, -1.066667"
2638,"51.370447, -2.137629"
2641,"52.669563000000004, -0.726625"
2647,"-16.365181, -46.895720000000004"
2668,"13.075417999999999, -59.493768"
2683,"0.0, 0.0"
2695,"-28.000290000000003, 153.430878"
2712,"53.166667000000004, -1.583333"
2761,"-37.813938, 144.963425"
2777,"51.608044, -1.24484"
2778,"51.543102000000005, -1.097742"
2782,"50.06465, 19.944979999999997"
2783,"45.116667, 21.3"
2785,"33.325, 44.422"
2790,"-33.924868, 18.424055"
2812,"34.772013, 32.429737"
2841,"53.8, -1.583333"
2843,"58.147578, 7.996627"
2856,"53.997944999999994, -6.405957"
2858,"51.416667, -0.75"
2863,"50.396389, -4.138611"
2918,"0.0, 0.0"
2930,"52.906367, -1.257422"
2937,"52.566667, 1.116667"
2971,"0.0, 0.0"
2993,"53.5, -2.2166669999999997"
2994,"-38.662334, 178.017649"
3034,"53.120932999999994, -2.771825"
3043,"52.355518, -1.17432"
3056,"0.0, 0.0"
3064,"51.4, 0.566667"
3069,"53.5, -2.2166669999999997"
3083,"50.866667, 4.7"
3087,"0.0, 0.0"
3089,"-28.316667, 27.6"
3090,"-29.1, 26.216666999999998"
3092,"-34.183333000000005, 22.133333"
3099,"53.65, -1.333333"
3122,"51.5, -3.2"
3144,"50.753679999999996, 5.30209"
3165,"0.0, 0.0"
3166,"14.169912, 121.24406299999998"
3168,"64.133333, -21.933332999999998"
3206,"-36.2, 146.966667"
3208,"52.980821, -6.044589"
3210,"0.0, 0.0"
3233,"50.85, -1.183333"
3242,"53.3, -3.75"
3252,"51.514125, -0.093689"
3262,"52.3, -1.533333"
3280,"9.977844000000001, -84.829421"
3339,"35.228545000000004, 128.889352"
3341,"50.866667, -2.166667"
3370,"15.5, -88.033333"
3394,"9.512017, 100.013593"
3402,"38.738308, -93.57302800000001"
3411,"53.916667000000004, -3.0"
3439,"54.898520999999995, 23.903597"
3456,"53.533333, -0.05"
3485,"53.583332999999996, -0.65"
3490,"52.016667, -4.8333330000000005"
3493,"24.711667000000002, 46.724167"
3515,"-33.861481, 151.205475"
3540,"51.396531, 0.177326"
3545,"53.716667, -1.35"
3570,"51.833333, 0.583333"
3619,"-33.137551, 81.826172"
3632,"-28.741944, 24.771944"
3652,"57.10711800000001, 12.252091"
3661,"0.0, 0.0"
3668,"0.0, 0.0"
3674,"3.420556, -76.522222"
3698,"52.516667000000005, 13.4"
3728,"23.727107, 92.717639"
3736,"53.710071, 16.699360000000002"
3738,"32.346612, -86.167221"
3746,"51.633333, -3.9666669999999997"
3747,"51.633333, -3.9666669999999997"
3749,"0.0, 0.0"
3786,"44.139644, 12.246429"
3807,"51.517083, 0.578411"
3808,"51.243942, 5.714222"
3810,"20.679606, -103.265105"
3813,"51.45, -2.583333"
3828,"-20.744222, 116.804227"
3837,"52.05, -2.7166669999999997"
3862,"0.0, 0.0"
3903,"23.063655999999998, -109.70243799999999"
3913,"54.766667000000005, -1.566667"
3936,"34.690083, 135.195511"
3944,"22.543098999999998, 114.057868"
3962,"28.635308000000002, 77.22496"
3966,"0.0, 0.0"
3989,"52.266213, -8.269886"
