,location
1,"29.384209999999996, -98.581082"
18,"32.364167, -64.678611"
19,"0.0, 0.0"
30,"53.970571, -111.689885"
36,"-38.662334, 178.017649"
41,"41.523427000000005, -73.646795"
42,"0.0, 0.0"
49,"36.722263, -86.577218"
50,"0.0, 0.0"
58,"55.183333, 59.65"
61,"26.149798, -97.913611"
65,"18.220833, -66.590149"
69,"-33.093373, 151.58898200000002"
76,"0.0, 0.0"
82,"40.935998, -73.901708"
88,"0.0, 0.0"
97,"0.0, 0.0"
98,"27.150053000000003, -82.480653"
102,"0.0, 0.0"
105,"43.40555, -88.705104"
106,"38.627003, -90.199404"
126,"25.03428, -77.39628"
128,"41.793929999999996, -86.743915"
136,"53.070884, -2.7365060000000003"
139,"40.058324, -74.405661"
147,"55.28813100000001, 23.957728"
148,"42.209773999999996, -79.466844"
172,"35.20105, -91.83183299999999"
189,"26.705621, -80.03643000000001"
199,"59.900209, 5.282347"
211,"40.516977000000004, -80.22134799999999"
219,"0.0, 0.0"
237,"37.615223, -122.389979"
257,"42.468164, -71.01411800000001"
259,"35.947474, -86.48836700000001"
267,"37.615223, -122.389979"
275,"44.136076, -79.308339"
286,"40.858433000000005, -74.16375500000001"
289,"36.864209, -86.710273"
310,"0.0, 0.0"
316,"43.431646, -103.474362"
321,"64.06666700000001, -21.95"
322,"0.0, 0.0"
333,"45.124411, -92.673537"
347,"37.704344, -88.426757"
368,"37.916104, -85.95624699999999"
370,"41.492537, -99.901813"
380,"27.477936, -99.549573"
384,"41.314496999999996, -81.83569"
392,"36.188137, -94.54049599999999"
393,"39.32098, -111.093731"
395,"21.344507, -157.97489099999999"
405,"41.615590999999995, -87.529487"
406,"43.161747999999996, -70.648258"
407,"34.746481, -92.28959499999999"
421,"-27.597553, 152.7455"
427,"46.62794, 14.30899"
432,"-27.088078999999997, 152.928057"
438,"41.885738, -87.969213"
441,"48.503890000000006, -122.23611000000001"
454,"46.553733, -120.38316200000001"
462,"42.586888, -82.919551"
474,"38.802609999999994, -116.419389"
475,"40.695655, -73.325675"
496,"39.103118, -84.51201999999999"
504,"32.543889, -83.596111"
516,"42.670782, -83.032993"
520,"33.590354999999995, 130.401716"
523,"38.007059000000005, -119.01225900000001"
528,"70.292489, -161.903334"
531,"0.0, 0.0"
536,"0.0, 0.0"
547,"56.031639, -121.905722"
550,"0.0, 0.0"
553,"14.058323999999999, 108.277199"
557,"41.524898, -119.05102"
560,"-33.137551, 81.826172"
566,"35.002778, -82.652778"
571,"45.012465999999996, -92.991883"
578,"39.920770000000005, 32.85411"
581,"0.0, 0.0"
582,"44.314844, -85.602364"
587,"38.161861, -121.611621"
593,"51.394943, -0.19446"
606,"38.056468, -83.943256"
607,"29.383845, -94.9027"
611,"40.256648, -79.81846800000001"
620,"35.423334999999994, -120.618785"
623,"41.389491, -82.019032"
632,"0.0, 0.0"
645,"0.0, 0.0"
649,"38.812963, -120.03018300000001"
653,"36.364127, -78.527751"
659,"31.243787, -90.453153"
671,"52.355518, -1.17432"
678,"38.609741, -122.25404499999999"
686,"0.0, 0.0"
689,"43.804133, -120.554201"
712,"0.0, 0.0"
714,"39.987271, -90.763463"
725,"36.241416, -115.050807"
727,"42.087675, -75.96158100000001"
729,"51.312374, 3.132768"
733,"31.846940000000004, 120.87286200000001"
745,"-37.653828999999995, 145.517006"
752,"36.778261, -119.41793200000001"
757,"-5.1295470000000005, -80.12056899999999"
759,"22.396428, 114.10949699999999"
774,"40.616187, -79.72411"
778,"39.337515, 20.289964"
796,"40.773662, -81.460856"
803,"49.51397, -117.61838700000001"
805,"37.465053000000005, -90.346784"
812,"27.860302, -80.447274"
816,"41.462072, -87.894245"
822,"41.626389, -87.711667"
828,"41.626389, -87.711667"
856,"41.051429999999996, -86.603065"
865,"45.50867, -73.55399200000001"
867,"49.972636, -98.282777"
869,"44.314844, -85.602364"
872,"40.182846000000005, 29.067084"
875,"33.223191, 43.679291"
881,"42.068889, -123.72083300000001"
884,"41.714918, -71.463612"
893,"33.635026, -85.795908"
896,"37.963699, -104.838261"
898,"33.800592, -112.204047"
906,"35.517491, -86.58044699999999"
908,"39.604851000000004, -106.35661200000001"
918,"32.486672999999996, -91.963994"
932,"34.683983000000005, -83.67435"
947,"3.1390029999999998, 101.68685500000001"
969,"40.183333000000005, 44.516667"
975,"39.340925, -80.018966"
979,"41.101687, -80.532732"
982,"39.340925, -80.018966"
992,"32.753471999999995, -79.952845"
996,"43.10729, -75.129221"
1003,"40.519024, -79.86950999999999"
1007,"34.974532, -92.016534"
1008,"40.579532, -74.150201"
1011,"29.807988, -84.859352"
1017,"48.945484, 2.037356"
1029,"32.237147, -80.860387"
1031,"34.818831, -82.412391"
1033,"26.527578000000002, -82.194817"
1034,"32.237147, -80.860387"
1040,"33.916403, -118.352575"
1041,"37.280971, -79.896982"
1057,"40.296217999999996, -75.082115"
1058,"40.103874, -105.170819"
1059,"38.807404, -122.740546"
1063,"41.921110999999996, -71.435"
1078,"14.058323999999999, 108.277199"
1097,"33.539165999999994, -112.55841399999998"
1101,"39.612875, -84.248952"
1109,"49.214439, -2.13125"
1113,"46.729553, -94.6859"
1118,"41.117744, -73.408158"
1120,"-29.906301000000003, -71.25020400000001"
1124,"33.348216, -111.78958100000001"
1128,"50.395140000000005, -3.513924"
1132,"0.0, 0.0"
1135,"48.097456, -0.349277"
1146,"-25.274398, 133.775136"
1153,"34.493484, -118.21636000000001"
1163,"-7.33683, 110.49881699999999"
1168,"33.745573, -117.867834"
1171,"43.580418, 7.125102"
1172,"66.07583299999999, -23.126667"
1177,"0.0, 0.0"
1185,"28.459497, 77.026638"
1192,"35.184870000000004, -80.79071"
1203,"46.087817, -64.778231"
1205,"37.060704, -88.525335"
1235,"30.099121000000004, -95.61581899999999"
1237,"48.539371, -58.776848"
1253,"35.022484999999996, -114.58927"
1282,"39.819722, -75.122778"
1293,"25.317645000000002, 82.97391400000001"
1316,"9.512017, 100.013593"
1325,"39.898404, -81.827354"
1329,"42.766667, -70.845833"
1336,"39.617206, -8.652142"
1343,"36.505389, -117.079408"
1348,"44.130575, -84.60724"
1355,"41.184944, -112.014664"
1358,"40.5725, -111.85972199999999"
1359,"36.665547, -106.691032"
1360,"41.734069, -81.242025"
1368,"32.686184000000004, -114.19394399999999"
1369,"32.686184000000004, -114.19394399999999"
