,datetime,city,state,country,shape,duration_s,hours,comments,date_p,latitude,longitude
1,10/10/1949 21:00,lackland afb,tx,us,light,7200,1-2 hrs,1949 Lackland AFB&#44 TX.  Lights racing across the sky &amp; making 90 degree turns on a dime.,12/16/2005,29.384209999999996,-98.581082
18,10/10/1973 23:00,bermuda nas,,bm,light,20,20 sec.,saw fast moving blip on the radar scope thin went outside and saw it again.,1/11/2002,32.364167,-64.678611
19,10/10/1974 17:00,willow beach,az,,light,120,2 min,The object was a brillant white light standing out against the bright arizona sky,2/18/2001,0.0,0.0
30,10/10/1979 22:00,saddle lake (canada),ab,ca,triangle,270,4.5 or more min.,Lights far above&#44  that glance; then flee from the celestrialhavens&#44 only to appear again.,1/19/2005,53.970571,-111.689885
36,10/10/1982 07:00,gisborne (new zealand),,nz,disk,120,2min,gisborne nz 1982 wainui beach to sponge bay,1/11/2002,-38.662334,178.017649
41,10/10/1986 20:00,holmes/pawling,ny,us,chevron,180,3 minutes,Football Field Sized Chevron with bright white lights on front&#44 moving slowly with absolutely no sound,10/8/2007,41.523427000000005,-73.646795
42,10/10/1987 20:00,manilla (rr#1) (canada),on,,disk,600,10/mins,We could clearly see the craft and observed in detail it&#39s structure&#44no sound was made by it and the lights that were flashing were not,8/5/2001,0.0,0.0
49,10/10/1989 21:00,kranklin,ky,us,triangle,180,3min,Triangle seen in franklin Ky - october 1989,5/11/2005,36.722263,-86.577218
50,10/10/1990 20:00,pense (canada),sa,,unknown,180,1/2 hr.,i saw something one rainy night&#44 and i&#39ll never forget it as long as i live.,10/12/2001,0.0,0.0
58,10/10/1993 03:00,zlatoust (russia),,ru,sphere,1200,20 minutes,I woke up at night and looked out the window near my bed. There was a huge sphere of shining light in front of our nine floor apartment,12/14/2004,55.183333,59.65
61,10/10/1994 15:00,mercedies,tx,us,cigar,3600,1 hour,ufo chased by fighter jet over Rio Grande Valley. Seen on news,12/12/2011,26.149798,-97.913611
65,10/10/1995 17:05,puerto rico (puerto rico),pr,us,,0,,Woman calls regarding fiance who is having peculiar &quot;flash back&quot; recall of alien type creatures.  Directed to investigator.,11/2/1999,18.220833,-66.590149
69,10/10/1996 20:00,lake macquarie (nsw&#44 australia),,au,light,300,5 min,RED LIGHT WITH OTHER RED FLASHING LIGHT&#44 ONE OBJECT,5/24/1999,-33.093373,151.58898200000002
76,10/10/1998 02:00,turin (italy),,,disk,15,15 sec,We were doing a patrol during the night&#44me and my friend were on guard duty in a military camp wich was a big field in the middle of a,1/19/2005,0.0,0.0
82,10/10/1998 20:30,nyc/westchester area,ny,us,triangle,60,< 1 min,Lights over NYC,10/30/2006,40.935998,-73.901708
88,10/10/1999 03:00,st. agnes de dundee (canada),pq,,egg,5400,90 min.,early morning bright object egg shape fully colorder chaging colors as it turn as it was going it change to white colors,12/2/2000,0.0,0.0
97,10/10/1999 22:00,dorset (uk/england),,,flash,1,<1 second,Whilst out late night cycling (as i have done so for many years and am a hardy fellow);I paused at the cliff tops of our local beach&#44(a,2/14/2006,0.0,0.0
98,10/10/1999 22:30,casey key (north end of),fl,us,triangle,120,several minutes,A large trianglual shaped craft flew from horizon to horizon as observed from the stern deck of a motor vessel,9/19/2002,27.150053000000003,-82.480653
102,10/10/2000 03:45,carnival cruise ship (paradise) (caribbean),,,flash,1200,20 mins.,Motionless eratic flashing light.,12/9/2000,0.0,0.0
105,10/10/2000 16:00,jueanu,wi,us,triangle,45,45 seconds,5 bight light V shaped,12/2/2000,43.40555,-88.705104
106,10/10/2000 20:20,valley park area of st. louis,mo,us,oval,15,15 seconds,Driving on Hyw.141 at Hyw. 44 and going East&#44 I witnessed to my right a glowing orb of light streak horizontally from East to West at a,12/2/2000,38.627003,-90.199404
126,10/10/2002 22:00,bahamas,,bs,egg,0,,we are sitting outside and commenting on all the air traffic tonight. over to the east we were watching what we thought a plane but nev,10/15/2002,25.03428,-77.39628
128,10/10/2003 09:00,new buffulo,mi,us,light,120,2 minute,Craft that suddenly vanishes and another one that shows up and does strange things at high speeds,5/24/2005,41.793929999999996,-86.743915
136,10/10/2003 23:00,bickerton (near wetherby) (uk/england),,gb,unknown,2700,45minutes,two bright&#44 but fuzzy lights going in a hovering circle about 200 yards of the ground&#44 with a grey cloud above them,10/15/2003,53.070884,-2.7365060000000003
139,10/10/2004 03:30,worthington st. forest,nj,us,other,2700,45 min,witnessed a large object and an intense red light that illumiated the object.,10/27/2004,40.058324,-74.405661
