0,2,"53.2, -2.916667","Greyhound Retail Park, City of Chester, Chester, Cheshire West and Chester, North West England, England, CH1 4QQ, United Kingdom"
1,6,"51.434722, -3.18","Victoria Square, Penarth Marina, Penarth, Vale of Glamorgan, Cymru / Wales, CF64 3EH, United Kingdom"
2,18,"32.364167, -64.678611","South Perimeter Road, Saint George's, DD03, Bermuda"
3,21,"51.5, -3.2","Cardiff University - Talybont North (Halls of Residence), Mynachdy Road, Maindy, Gabalfa, Cardiff, Cymru / Wales, CF, United Kingdom"
4,25,"51.783333, -0.783333","Stoke Mandeville Station, Meadow Park, Stoke Mandeville, Buckinghamshire, South East England, England, HP22 5XH, United Kingdom"
5,36,"-38.662334, 178.017649","377, Childers Road, Victoria, Gisborne, 4010, New Zealand / Aotearoa"
6,40,"53.8, -1.583333","Canal Road Aviary Road, Canal Road, Armley, Leeds, West Yorkshire, Yorkshire and the Humber, England, LS12 2ND, United Kingdom"
7,58,"55.183333, 59.65","4, 1-я Керамическая улица, Северо-запад, Златоуст, Златоустовский городской округ, Челябинская область, Уральский федеральный округ, 456200, Россия"
8,69,"-33.093373, 151.58898200000002","Pulbah Island Nature Reserve, North Sport and Recreation Centre Fire Trail, Point Wolstoncroft, Central Coast Council, New South Wales, 2259, Australia"
9,76,"0.0, 0.0",Soul Buoy
10,97,"0.0, 0.0",Soul Buoy
11,102,"0.0, 0.0",Soul Buoy
12,112,"-33.861481, 151.205475","Bradfield Highway Onramp, Millers Point, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia"
13,121,"-34.928661, 138.598633","Auge Ristorante, 22, Grote Street, Adelaide, Adelaide City Council, South Australia, 5000, Australia"
14,126,"25.03428, -77.39628","Pine Forest Close, Jubilee Gardens, Nassau, New Providence, The Bahamas"
15,127,"-41.05584, 145.903748","Saint Mary's Star of the Sea, Fleming Court, Burnie, City of Burnie, Tasmania, 7320, Australia"
16,136,"53.070884, -2.7365060000000003","Goldford Lane, Bickerton, Cheshire East, North West England, England, SY14 8LN, United Kingdom"
17,147,"55.28813100000001, 23.957728","1C, Paparčių g., Kėdainiai, Kėdainių miesto seniūnija, Kėdainių rajono savivaldybė, Kauno apskritis, 57322, Lietuva"
18,160,"52.516667000000005, -3.3","Morrisons, Pool Road, Tesco, Newtown and Llanllwchaiarn, Newtown, Powys, Cymru / Wales, SY16 3AH, United Kingdom"
19,174,"50.396389, -4.138611","Glentor Road, Peverell, Crownhill, Plymouth, South West England, England, PL3 5TR, United Kingdom"
20,199,"59.900209, 5.282347","Kråkevegen, Vestbøstad, Fitjar, Vestland, 5419, Norge"
21,219,"0.0, 0.0",Soul Buoy
22,254,"51.316666999999995, -0.266667","RAC Woodcote Park Golf Club, Headley Road, Langley Vale, Epsom, Epsom and Ewell, Surrey, South East England, England, CR5 2QQ, United Kingdom"
23,307,"-23.697479, 133.883621","Piccolo's Cafe, Todd Mall, Alice Springs, Town of Alice Springs, Northern Territory, 0870, Australia"
24,310,"0.0, 0.0",Soul Buoy
25,321,"64.06666700000001, -21.95","14, Lækjargata, Miðbær, Hafnarfjörður, Hafnarfjarðarkaupstaður, Höfuðborgarsvæðið, 220, Ísland"
26,322,"0.0, 0.0",Soul Buoy
27,349,"51.514125, -0.093689","107, Cheapside, Barbican, City of London, Greater London, England, EC2, United Kingdom"
28,352,"52.75, -3.8833330000000004","Ffordd Pen y Cefn, Dolgellau, Gwynedd, Cymru / Wales, LL40 2YQ, United Kingdom"
29,380,"27.477936, -99.549573","Boulevard Anáhuac, Colonia Américo Villarreal Guerra, Nuevo Laredo, Municipio de Nuevo Laredo, Tamaulipas, 88136, México"
30,389,"52.683333, -2.016667","Eastern Way, Norton Canes, Cannock, Cannock Chase, Staffordshire, West Midlands, England, WS11 8ER, United Kingdom"
31,403,"53.433333, -1.35","Spring Street, Clifton, Rotherham, Yorkshire and the Humber, England, S65 1HE, United Kingdom"
32,413,"51.816666999999995, -1.283333","West Kidlington Primary School, Hardwick Avenue, Garden City, Kidlington, Cherwell, Oxfordshire, South East England, England, OX5, United Kingdom"
33,421,"-27.597553, 152.7455","Brassall Shopping Centre, Workshops Street, Brassall, Ipswich City, Queensland, 4305, Australia"
34,426,"51.514125, -0.093689","107, Cheapside, Barbican, City of London, Greater London, England, EC2, United Kingdom"
35,427,"46.62794, 14.30899","St. Veiter Ring, Innere Stadt, St. Veiter Vorstadt, Klagenfurt am Wörthersee, Kärnten, 9020, Österreich"
36,432,"-27.088078999999997, 152.928057","Bellmere Road, Bellmere, Caboolture, Moreton Bay Regional, Queensland, 4510, Australia"
37,520,"33.590354999999995, 130.401716","福岡市役所, 8番1号, ふれあい通り, 天神, 中央区, 福岡市, 福岡県, 8108620, 日本"
38,550,"0.0, 0.0",Soul Buoy
39,553,"14.058323999999999, 108.277199","Kon Dơng, Mang Yang, Tỉnh Gia Lai, Việt Nam"
40,560,"-33.137551, 81.826172",
41,578,"39.920770000000005, 32.85411","Kızılay, Ziya Gökalp Caddesi, Fidanlık Mahallesi, Ankara, Çankaya, Ankara, İç Anadolu Bölgesi, 06420, Türkiye"
42,581,"0.0, 0.0",Soul Buoy
43,593,"51.394943, -0.19446","228, Abbotsbury Road, Morden, London Borough of Merton, London, Greater London, England, SM4 5SH, United Kingdom"
44,609,"52.466667, -1.916667","Estria Road, Edgbaston, Park Central, Birmingham, West Midlands Combined Authority, West Midlands, England, B15, United Kingdom"
45,670,"51.021111, -3.104722","11, Albemarle Road, Belvedere Trading Estate, North Town, Taunton, Somerset West and Taunton, Somerset, South West England, England, TA1 1BB, United Kingdom"
46,671,"52.355518, -1.17432","DHL Sainsbury's, Watling Street, Kilsby, West Northamptonshire, East Midlands, England, CV23 8BQ, United Kingdom"
47,712,"0.0, 0.0",Soul Buoy
48,713,"53.38333299999999, -2.6","Slutchers Lane, Lower Walton, Wilderspool, Warrington, North West England, England, WA1, United Kingdom"
49,729,"51.312374, 3.132768","Koning Albert-I-laan, Westkwartier, Blankenberge, Brugge, West-Vlaanderen, 8370, België / Belgique / Belgien"
50,733,"31.846940000000004, 120.87286200000001","南丰镇, 张家港市, 苏州市, 江苏省, 中国"
51,739,"56.15, -3.75","Greenfield Lane, Marchglen, Tillicoultry, Clackmannanshire, Scotland, FK13 6DB, United Kingdom"
52,745,"-37.653828999999995, 145.517006","New Beginnings, 219, Maroondah Highway, Healesville, Melbourne, Shire of Yarra Ranges, Victoria, 3777, Australia"
53,757,"-5.1295470000000005, -80.12056899999999","PE-1NR, Pueblo nuevo de campanas, Chulucanas, Morropón, Departamento de Piura, Perú"
54,759,"22.396428, 114.10949699999999","荃錦公路 Route Twisk, 川龍 Chuen Lung, 荃灣 Tsuen Wan, 荃灣區 Tsuen Wan District, 新界 New Territories, 香港 Hong Kong, 中国"
